Date,Price,Open,High,Low,Change %,days
3/9/2011,1.3908,1.3904,1.3943,1.3854,0.03%,2918
3/10/2011,1.3794,1.3906,1.3927,1.3775,-0.82%,2919
3/11/2011,1.391,1.3798,1.3916,1.3752,0.84%,2920
3/14/2011,1.399,1.3962,1.4003,1.3902,0.58%,2921
3/15/2011,1.3996,1.3986,1.4013,1.3853,0.04%,2922
3/16/2011,1.3903,1.3998,1.4002,1.3865,-0.66%,2923
3/17/2011,1.4022,1.3906,1.4053,1.3869,0.86%,2924
3/18/2011,1.4179,1.4017,1.4187,1.3981,1.12%,2925
3/21/2011,1.4227,1.4182,1.4241,1.4138,0.34%,2926
3/22/2011,1.4202,1.4219,1.4249,1.4173,-0.18%,2927
3/23/2011,1.4083,1.4198,1.4217,1.4078,-0.84%,2928
3/24/2011,1.4175,1.4091,1.4223,1.4051,0.65%,2929
3/25/2011,1.4084,1.4171,1.4196,1.4055,-0.64%,2930
3/28/2011,1.4085,1.4046,1.4116,1.402,0.01%,2931
3/29/2011,1.4111,1.4081,1.4151,1.4047,0.18%,2932
3/30/2011,1.4127,1.4112,1.4148,1.4051,0.11%,2933
3/31/2011,1.4167,1.4129,1.4234,1.4114,0.28%,2934
4/1/2011,1.4231,1.4174,1.4248,1.4062,0.45%,2935
4/4/2011,1.4222,1.4226,1.4272,1.4194,-0.06%,2936
4/5/2011,1.4223,1.422,1.4248,1.4152,0.01%,2937
4/6/2011,1.4333,1.4217,1.4351,1.4209,0.77%,2938
4/7/2011,1.4304,1.4335,1.4346,1.4243,-0.20%,2939
4/8/2011,1.4481,1.4304,1.4491,1.4292,1.24%,2940
4/11/2011,1.4435,1.4454,1.4484,1.4417,-0.32%,2941
4/12/2011,1.4477,1.4432,1.452,1.4375,0.29%,2942
4/13/2011,1.4441,1.4477,1.4521,1.4411,-0.25%,2943
4/14/2011,1.4489,1.4441,1.4516,1.4363,0.33%,2944
4/15/2011,1.4432,1.4488,1.4507,1.4392,-0.39%,2945
4/18/2011,1.4234,1.4419,1.4422,1.4157,-1.37%,2946
4/19/2011,1.4337,1.4224,1.4354,1.4204,0.72%,2947
4/20/2011,1.4518,1.4337,1.4546,1.4325,1.26%,2948
4/21/2011,1.4552,1.452,1.465,1.4504,0.23%,2949
4/22/2011,1.4556,1.4552,1.4589,1.4533,0.03%,2950
4/25/2011,1.4581,1.456,1.4629,1.4524,0.17%,2951
4/26/2011,1.4644,1.4579,1.4659,1.4493,0.43%,2952
4/27/2011,1.4777,1.4646,1.4796,1.4632,0.91%,2953
4/28/2011,1.4824,1.4783,1.4883,1.4769,0.32%,2954
4/29/2011,1.4802,1.4828,1.4881,1.4802,-0.15%,2955
5/2/2011,1.4827,1.4826,1.4905,1.4763,0.17%,2956
5/3/2011,1.4828,1.482,1.4892,1.4753,0.01%,2957
5/4/2011,1.4824,1.4823,1.4942,1.4776,-0.03%,2958
5/5/2011,1.4541,1.4829,1.4903,1.4512,-1.91%,2959
5/6/2011,1.431,1.4543,1.459,1.431,-1.59%,2960
5/9/2011,1.4364,1.4369,1.4443,1.4255,0.38%,2961
5/10/2011,1.4407,1.4353,1.4414,1.4268,0.30%,2962
5/11/2011,1.4197,1.4406,1.4425,1.4172,-1.46%,2963
5/12/2011,1.4243,1.4205,1.4278,1.4123,0.32%,2964
5/13/2011,1.4121,1.4243,1.4342,1.4067,-0.86%,2965
5/16/2011,1.4154,1.4078,1.4245,1.4047,0.23%,2966
5/17/2011,1.4238,1.416,1.424,1.4118,0.59%,2967
